,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Unnamed: 0,Unnamed: 0.1,dataset,inside_labels,nb_epochs,test_acc,train_time
0,0.8752016656977761,0.004381689931514195,0.8832933934903291,0.006573820143409586,0.8850914205294578,0.0007242022334607315,0.8919577223969751,0.0009331897715733241,0,test_mnist_2labels_1_v1,mnist,"[0, 1]",25.0,0.9995271867612292,1052.7302544116974
1,0.7517204130629056,0.001006938631476027,0.7693641399739414,0.004381689931514195,0.7553796759250028,0.0001324713987866118,0.7708724825863391,0.0009098272894455568,1,test_mnist_2labels_2_v1,mnist,"[2, 7]",25.0,0.9883495145631068,897.5969848632812
2,0.6605632231250496,0.006409244019356457,0.7084266468900494,0.0596727119597331,0.6601766490097887,0.0006883952069645496,0.7074265222651535,0.014065272421052393,test_mnist_2lavels_3_v1,,mnist,"[8, 9]",25.0,0.9838628340897628,856.5751502513885
3,0.8299319932797541,0.005646141419303673,0.8281759772077717,0.012080421346773264,0.8241860075792254,0.0006543586018883229,0.8256492254211042,0.0015892828656229765,test_mnist_5labels_1_v1,,mnist,"[0, 2, 4, 6, 8]",50.0,0.9870077141697118,4289.936841964723
4,0.7964023197893811,0.0239540735872088,0.8038718685317793,0.052567911220184185,0.7975744980964447,0.002324697059985645,0.8035549550187426,0.006742622241778335,test_mnist_5labels_2_v1,,mnist,"[1, 3, 5, 7, 9]",50.0,0.9822625147812376,4436.932276248932
5,0.8502949704275147,0.02110203428568597,0.8559117985009425,0.03416123268585532,0.8532761434891823,0.002638890814457508,0.8581283684926466,0.004060772025700361,test_mnist_5labels_3_v1,,mnist,"[0, 1, 2, 3, 4]",50.0,0.9939676979957192,4513.992371797563
6,0.8853406920298328,0.037807466635993416,0.8830043186161213,0.06773775997517745,0.8838194925930185,0.004849374067335233,0.8804931032267501,0.004849374067335233,test_mnist_8labels_1_v1,,mnist,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.9812301838934686,10466.89244413376
7,0.8413632456550573,0.018124175473742395,0.8415085102068771,0.026510836019085417,0.8422344961158065,0.002324697059985645,0.8442162117130994,0.002847439166467248,test_mnist_8labels_2_v1,,mnist,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.9831234256926952,10554.67049217224
8,0.8863833621911905,0.018124175473742395,0.8835059321857754,0.030866649433372743,0.8834234810463579,0.0015494950393146315,0.8809203861454823,0.002324697059985645,test_mnist_8labels_3_v1,,mnist,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.9851565423475116,10622.485325098038
9,0.8836153409930261,0.009140310748756222,0.890346566249101,0.011483124145435113,0.8876948228029602,0.0014360089846512606,0.8946611584005659,0.002266498079273693,test_mnist_2labels_1_v2,,mnist,"[0, 1]",25.0,0.9990543735224586,914.1187047958374
10,0.7452012437901321,0.00022560740664968589,0.7635167422057115,0.0029955493343598164,0.7455288535485479,4.804870439655134e-05,0.7656644019786949,0.00035608325526292813,test_mnist_2labels_2_v2,,mnist,"[2, 7]",25.0,0.987378640776699,887.5494060516357
11,0.6766286395731422,0.0019966424501097935,0.7227991969803278,0.014796880626863962,0.6749585331634478,0.0008431909292866251,0.7217966909573671,0.002154434690031882,test_mnist_2lavels_3_v2,,mnist,"[8, 9]",25.0,0.989409984871407,856.2345943450928
12,0.8299255023555174,0.00765391938823014,0.8283900688048869,0.013369837418249451,0.8265887748592848,0.0007242022334607315,0.826807166575111,0.0017589165903277324,test_mnist_5labels_1_v2,,mnist,"[0, 2, 4, 6, 8]",50.0,0.988834754364596,4252.87190246582
