experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,variation_ratio__bal_acc,variation_ratio__f1_score,variation_ratio__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,898.1909873485565,cifar10,0.9225,"[0, 1, 4, 8]","[7, 9]",100.0,0.6936249999999999,0.6669446297531687,0.7132346249999999,0.74925,0.7569646811982748,0.8239524375,0.751375,0.7581471135940409,0.8248984062499999,0.687875,0.7072046757333932,0.69521778125,0.75,0.7579365079365079,0.8242628124999999
1.2,881.617107629776,cifar10,0.921,"[0, 1, 4, 8]","[7, 9]",100.0,0.6875,0.6668333750104193,0.7081272187500001,0.733625,0.7469444149218833,0.80735465625,0.73525,0.7477551020408165,0.8082656562499999,0.669375,0.6989795918367345,0.6794068750000001,0.740625,0.7508547982676087,0.8091535624999999
1.3,882.0984959602356,cifar10,0.9195,"[0, 1, 4, 8]","[7, 9]",100.0,0.6912499999999999,0.6667222268522377,0.70782965625,0.74675,0.758100810081008,0.8217188437499998,0.750125,0.7582143666440063,0.82304478125,0.6752499999999999,0.6993084987731429,0.6835930625,0.7548750000000001,0.7605062082139447,0.8224179375
1.4,883.0323719978333,cifar10,0.92325,"[0, 1, 4, 8]","[7, 9]",100.0,0.6993750000000001,0.6682370443838336,0.719846875,0.7395,0.7535126892495373,0.8169810312500001,0.743625,0.7546615436772517,0.818590875,0.684625,0.7023008849557523,0.6917480624999999,0.7418750000000001,0.7540394973070019,0.81705475
1.5,881.563276052475,cifar10,0.92275,"[0, 1, 4, 8]","[7, 9]",100.0,0.6955,0.6689148500541973,0.7207871875,0.733125,0.7524815882164586,0.813766875,0.736,0.7527027027027027,0.8153634687500001,0.6741250000000001,0.7020954849859582,0.6842317812500001,0.7364999999999999,0.7527586583633781,0.8133992812499999
2.1,880.9410903453827,cifar10,0.87325,"[2, 4, 7, 8]","[3, 6]",100.0,0.637,0.6675603217158177,0.6564749999999999,0.6895,0.7098752811286035,0.75605378125,0.687625,0.7068329177057358,0.7516610625000001,0.683125,0.6868951612903226,0.7054992499999999,0.6900000000000001,0.709975369458128,0.75527546875
2.2,880.091560125351,cifar10,0.86675,"[2, 4, 7, 8]","[3, 6]",100.0,0.618625,0.666946027489105,0.6366999062500001,0.67575,0.7055900621118012,0.7386187812500001,0.671375,0.7012855552181395,0.7329861875000001,0.6685000000000001,0.6854290569243839,0.6969844375000002,0.675,0.701188455008489,0.73797915625
2.3,880.8469159603119,cifar10,0.86325,"[2, 4, 7, 8]","[3, 6]",100.0,0.620625,0.6667777962993833,0.6338045000000001,0.670125,0.7032763239233465,0.73582825,0.6663749999999999,0.7015481089555164,0.73094859375,0.678625,0.6866593164277839,0.700542625,0.669125,0.7031868360758176,0.7354848125000001
2.4,880.3080615997314,cifar10,0.8745,"[2, 4, 7, 8]","[3, 6]",100.0,0.623875,0.6668891298907149,0.6396189375,0.673875,0.7071928707829407,0.7422716562499999,0.671375,0.7042553191489362,0.7378993125,0.67825,0.685924369747899,0.69713115625,0.6735,0.7074337977241305,0.7407622500000001
2.5,879.8102765083313,cifar10,0.86375,"[2, 4, 7, 8]","[3, 6]",100.0,0.6292500000000001,0.667228732821853,0.65160240625,0.681875,0.7125601282736503,0.7478454375,0.67675,0.7072506286672254,0.7422303750000001,0.6771250000000001,0.6904422253922967,0.7077201875,0.68275,0.7137204577050584,0.74813709375
