experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,variation_ratio__bal_acc,variation_ratio__f1_score,variation_ratio__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,614.5792636871338,cifar10,0.92425,"[0, 1, 4, 8]","[7, 9]",200.0,0.6985,0.6734257068829559,0.71034309375,0.73125,0.746649373108517,0.800834,0.73125,0.746649373108517,0.8008331249999999,0.5,0.6666666666666666,0.5,0.73075,0.7463531460918789,0.8004308124999999
1.2,528.3735241889954,cifar10,0.911,"[0, 1, 4, 8]","[7, 9]",200.0,0.7025,0.6779989241527703,0.7160428437499999,0.749125,0.7612788236604656,0.8209718437499999,0.749125,0.7612788236604656,0.82096990625,0.5,0.6666666666666666,0.5,0.7484999999999999,0.761011971990061,0.82072621875
1.3,528.8428254127502,cifar10,0.91825,"[0, 1, 4, 8]","[7, 9]",200.0,0.709625,0.6734788666976311,0.70698246875,0.7506250000000001,0.7664762741652021,0.8255418124999999,0.7506250000000001,0.7664762741652021,0.8255441250000001,0.5,0.6666666666666666,0.5,0.7498750000000001,0.7661361626878868,0.8252304374999999
1.4,528.4085502624512,cifar10,0.91825,"[0, 1, 4, 8]","[7, 9]",200.0,0.7055,0.6774383078730905,0.724770625,0.745125,0.7560183630052626,0.81449959375,0.745125,0.7560183630052626,0.8145009687500001,0.5,0.6666666666666666,0.5,0.745,0.7559883590776808,0.8141761875000001
1.5,528.6355414390564,cifar10,0.90875,"[0, 1, 4, 8]","[7, 9]",200.0,0.7134999999999999,0.6718089076884798,0.70276134375,0.7542500000000001,0.7645993662290629,0.83051546875,0.7542500000000001,0.7645993662290629,0.8305153437499999,0.5,0.6666666666666666,0.5,0.75425,0.7648789318850419,0.8301100625
2.1,528.6640648841858,cifar10,0.858,"[2, 4, 7, 8]","[3, 6]",200.0,0.640125,0.6666666666666666,0.6462999062500001,0.67475,0.7085547566948004,0.73523384375,0.67475,0.7085547566948004,0.7352377187499999,0.5,0.6666666666666666,0.5,0.67475,0.708841948837703,0.7338912187500001
2.2,529.600967168808,cifar10,0.865,"[2, 4, 7, 8]","[3, 6]",200.0,0.623375,0.6666666666666666,0.6198185624999999,0.6495,0.6995524421093599,0.71019015625,0.6495,0.6995524421093599,0.7101903437499999,0.5,0.6666666666666666,0.5,0.649625,0.6983296437915074,0.70889865625
2.3,529.7704737186432,cifar10,0.846,"[2, 4, 7, 8]","[3, 6]",200.0,0.6445000000000001,0.6666666666666666,0.6343428125,0.712,0.7266147603903937,0.77614015625,0.712,0.7266147603903937,0.7761471875000001,0.5,0.6666666666666666,0.5,0.711625,0.7269507470946319,0.77578109375
2.4,528.4874811172485,cifar10,0.8535,"[2, 4, 7, 8]","[3, 6]",200.0,0.641625,0.6666666666666666,0.604599375,0.692125,0.7185234014502307,0.754128625,0.692125,0.7185234014502307,0.7541062812499999,0.5,0.6666666666666666,0.5,0.692375,0.7173454666518699,0.7536781562500001
2.5,529.490508556366,cifar10,0.86325,"[2, 4, 7, 8]","[3, 6]",200.0,0.6555,0.6758553274682306,0.6849228749999999,0.68625,0.7136140637775962,0.75253225,0.68625,0.7136140637775962,0.7525328437500001,0.5,0.6666666666666666,0.5,0.6856249999999999,0.7129826050063639,0.7516886562499999
3.1,529.5772640705109,cifar10,0.8205,"[2, 3, 6, 8]","[0, 5]",200.0,0.656875,0.6825688073394496,0.6946255625,0.7438750000000001,0.7430311548371984,0.814574,0.7438750000000001,0.7430311548371984,0.8145674687499999,0.5,0.6666666666666666,0.5,0.74375,0.7421692379616642,0.8145451562499999
3.2,530.3821172714233,cifar10,0.84625,"[2, 3, 6, 8]","[0, 5]",200.0,0.657,0.6666666666666666,0.6669385937500001,0.7378750000000001,0.7385824950861372,0.8096889375,0.7378750000000001,0.7385824950861372,0.80968378125,0.5,0.6666666666666666,0.5,0.738,0.7384335568943958,0.8096674999999999
3.3,529.1865842342377,cifar10,0.826,"[2, 3, 6, 8]","[0, 5]",200.0,0.65025,0.6666666666666666,0.5816270312499999,0.760375,0.7548838923700701,0.8289334375,0.760375,0.7548838923700701,0.82889990625,0.5,0.6666666666666666,0.5,0.759625,0.7548790965999754,0.8288910625
3.4,530.0376949310303,cifar10,0.8355,"[2, 3, 6, 8]","[0, 5]",200.0,0.66225,0.6666666666666666,0.6467911562499999,0.754,0.7499708862233609,0.8292155000000001,0.754,0.7499708862233609,0.8292153125000001,0.5,0.6666666666666666,0.5,0.7538750000000001,0.7500882041632365,0.82920025
3.5,530.0575239658356,cifar10,0.82625,"[2, 3, 6, 8]","[0, 5]",200.0,0.6665000000000001,0.6666666666666666,0.62896025,0.7418750000000001,0.7438914027149321,0.818887125,0.7418750000000001,0.7438914027149321,0.8188818437500001,0.5,0.6666666666666666,0.5,0.74175,0.7439982050706754,0.81885146875
4.1,528.4785490036011,cifar10,0.81825,"[3, 5, 7, 8]","[2, 4]",200.0,0.609125,0.6866781536229256,0.64899475,0.6479999999999999,0.693699065792089,0.7065463125,0.6479999999999999,0.693699065792089,0.70655778125,0.5,0.6666666666666666,0.5,0.648,0.691471653774601,0.7064611250000001
4.2,530.293838262558,cifar10,0.80725,"[3, 5, 7, 8]","[2, 4]",200.0,0.603625,0.6666666666666666,0.59888478125,0.626375,0.6929440389294403,0.67953440625,0.626375,0.6929440389294403,0.6795340625000001,0.5,0.6666666666666666,0.5,0.6265000000000001,0.6908179978803352,0.6788504687499999
4.3,529.2424252033234,cifar10,0.8155,"[3, 5, 7, 8]","[2, 4]",200.0,0.60575,0.6668334584271537,0.60847796875,0.6248750000000001,0.6858288770053476,0.6789270625,0.6248750000000001,0.6858288770053476,0.67892753125,0.5,0.6666666666666666,0.5,0.625,0.6834922415404748,0.67791234375
4.4,529.8609554767609,cifar10,0.8155,"[3, 5, 7, 8]","[2, 4]",200.0,0.61025,0.6666666666666666,0.6083429687499999,0.64075,0.6942574257425743,0.69910303125,0.64075,0.6942574257425743,0.69910178125,0.5,0.6666666666666666,0.5,0.6405,0.6925709683913832,0.69846325
4.5,529.7156875133514,cifar10,0.803,"[3, 5, 7, 8]","[2, 4]",200.0,0.62275,0.6666666666666666,0.6416965312499999,0.664125,0.7011359185272229,0.7249423125000001,0.664125,0.7011359185272229,0.7249478125000001,0.5,0.6666666666666666,0.5,0.663625,0.6978060863411181,0.7244686250000001
5.1,529.4969136714935,cifar10,0.87025,"[0, 4, 5, 6]","[1, 3]",200.0,0.64575,0.6666666666666666,0.6525079375,0.70875,0.7219610476830087,0.77643178125,0.70875,0.7219610476830087,0.77640478125,0.5,0.6666666666666666,0.5,0.7086250000000001,0.7219239373601789,0.7763088437500001
5.2,529.0893166065216,cifar10,0.87725,"[0, 4, 5, 6]","[1, 3]",200.0,0.6455000000000001,0.6666666666666666,0.6535781875,0.698875,0.7196881912988518,0.76545421875,0.698875,0.7196881912988518,0.7654534375,0.5,0.6666666666666666,0.5,0.6990000000000001,0.719704173269942,0.7653392812500001
5.3,529.2445743083954,cifar10,0.8805,"[0, 4, 5, 6]","[1, 3]",200.0,0.662,0.6666666666666666,0.66400115625,0.717,0.7304256437204413,0.793272,0.717,0.7304256437204413,0.7932713437500001,0.5,0.6666666666666666,0.5,0.7165,0.7298917043423405,0.7931866875000001
5.4,530.1752970218658,cifar10,0.86775,"[0, 4, 5, 6]","[1, 3]",200.0,0.64,0.6666666666666666,0.6401632187499999,0.6981249999999999,0.7190777858552291,0.7638445624999999,0.6981249999999999,0.7190777858552291,0.7638503125000001,0.5,0.6666666666666666,0.5,0.697875,0.7192819560507582,0.7638267812499999
5.5,529.7944538593292,cifar10,0.8885,"[0, 4, 5, 6]","[1, 3]",200.0,0.6595,0.6666666666666666,0.6637629375,0.7108749999999999,0.7250978686385385,0.7807843437499999,0.7108749999999999,0.7250978686385385,0.78078540625,0.5,0.6666666666666666,0.5,0.710375,0.7252819445965181,0.78049403125
6.1,529.6675267219543,cifar10,0.8545,"[0, 3, 6, 9]","[1, 5]",200.0,0.653375,0.6666666666666666,0.6572114375,0.705625,0.7130206625122992,0.762665125,0.705625,0.7130206625122992,0.7626653750000001,0.5,0.6666666666666666,0.5,0.7052499999999999,0.7125550660792953,0.7623026249999999
6.2,528.8713443279266,cifar10,0.87775,"[0, 3, 6, 9]","[1, 5]",200.0,0.684625,0.6667222268522377,0.6791157187500001,0.7196250000000001,0.7285572358980019,0.78646384375,0.7196250000000001,0.7285572358980019,0.7864679687499999,0.5,0.6666666666666666,0.5,0.719125,0.7284444444444444,0.7860460937499998
6.3,528.6444687843323,cifar10,0.882,"[0, 3, 6, 9]","[1, 5]",200.0,0.6928749999999999,0.6705277907519851,0.7095638750000001,0.71625,0.7204555221314998,0.7841475312499999,0.71625,0.7204555221314998,0.78414659375,0.5,0.6666666666666666,0.5,0.7162499999999999,0.7204843592330978,0.783863
6.4,529.2783401012421,cifar10,0.8815,"[0, 3, 6, 9]","[1, 5]",200.0,0.70075,0.6682050767532858,0.715534875,0.7290000000000001,0.734889015367103,0.79917559375,0.7290000000000001,0.734889015367103,0.79917509375,0.5,0.6666666666666666,0.5,0.7286250000000001,0.7346428976950156,0.79862803125
