dataset,labels,dropout_test_acc,bayesian_test_acc,dropout_entropy,dropout_std,dropout_entropy_classical,bayesian_entropy,bayesian_std
cifar,"[0, 1, 2, 3, 4, 5, 6, 7]",0.7163558465,0.55825,0.564125,0.59909375,0.5,0.5550625,0.5946875
cifar,"[0, 1, 2, 3, 4]",0.79296875,0.6475,0.50115,0.5055000000000001,0.50895,0.54715,0.55145
cifar,"[0, 1, 3, 4, 5, 6, 8, 9]",0.7579385085,0.5868125,0.50028125,0.51771875,0.54659375,0.6065,0.5828125000000001
cifar,"[0, 1]",0.9557291670000001,0.858,0.5285,0.5199687500000001,0.55765625,0.6566875000000001,0.65225
cifar,"[0, 2, 4, 6, 8]",0.8156049679999999,0.6371,0.5,0.50005,0.5609,0.5709,0.59615
cifar,"[1, 3, 5, 7, 9]",0.794170673,0.6151,0.56675,0.50815,0.5135000000000001,0.6286,0.59335
cifar,"[2, 3, 4, 5, 6, 7, 8, 9]",0.735572077,0.5626249999999999,0.57296875,0.54871875,0.51828125,0.50440625,0.5605312499999999
cifar,"[2, 7]",0.9036458334999999,0.778,0.5192187500000001,0.51684375,0.519625,0.572875,0.57259375
cifar,"[8, 9]",0.9361979165000001,0.83325,0.5759375,0.514875,0.5823125,0.5788125000000001,0.577625
mnist,"[0, 1, 2, 3, 4, 5, 6, 7]",0.9768775205,0.986029686915305,0.8938755224999999,0.8841191015000001,0.894130106,0.8880484574559285,0.8857450157342208
mnist,"[0, 1, 2, 3, 4]",0.9916015629999999,0.993286631640397,0.877128289,0.872770718,0.8612601845000001,0.8502234873742301,0.8520328233745433
mnist,"[0, 1, 3, 4, 5, 6, 8, 9]",0.9719632055,0.9833123425692696,0.875063848,0.8874954255,0.8263791010000001,0.8590398219703551,0.8595804551509881
mnist,"[0, 1]",0.9997558595,0.9992907801418439,0.9000280055000001,0.899046458,0.8768077545,0.8794085033454011,0.886393121666209
mnist,"[0, 2, 4, 6, 8]",0.98488898,0.987921234267154,0.8371632714999999,0.8408615155000001,0.7992200595000001,0.8299287478176358,0.8253873912192551
mnist,"[1, 3, 5, 7, 9]",0.9831730765,0.9837406385494678,0.8520920785,0.844602164,0.8330623395000001,0.8111606467982104,0.8115152209264431
mnist,"[2, 3, 4, 5, 6, 7, 8, 9]",0.9695824795,0.9816740646797717,0.8993993145000001,0.9076957475,0.8678875775,0.8807851743215358,0.8784553654847944
mnist,"[2, 7]",0.990966797,0.9878640776699029,0.7561879535,0.7546634210000001,0.7505221529999999,0.7484608284265188,0.7504542647367753
mnist,"[8, 9]",0.99375,0.9866364094805848,0.7378842720000001,0.7340632855,0.7180785510000001,0.6685959313490959,0.6675675910866182
