dataset,labels,dropout_test_acc,bayesian_test_acc,dropout_entropy,dropout_std,dropout_entropy_classical,bayesian_entropy,bayesian_std
cifar,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0008910118199443822,,0.06478865882621747,0.02417421308181508,0.0,,
cifar,"[0, 1, 2, 3, 4]",0.00014164763040731154,0.010606601717798184,0.0014849242404917434,0.0007071067811865089,0.0071417784899841285,0.002474873734152958,0.0031819805153394665
cifar,"[0, 1, 3, 4, 5, 6, 8, 9]",0.0012474162650792737,0.01918027143968503,0.00030935921676913936,0.010208854153380813,0.012506951192237114,0.022008698564431224,0.022008698564431342
cifar,"[0, 1]",0.002209708691207953,0.0028284271247461927,0.004684582425360832,0.00030935921676906086,0.013037281278126927,0.0012374368670764397,0.0011490485194281309
cifar,"[0, 2, 4, 6, 8]",0.009490415278918968,0.0012727922061358025,0.0,7.071067811864696e-05,0.01018233764908638,0.011030865786510064,0.002616295090390134
cifar,"[1, 3, 5, 7, 9]",0.0035411992454637263,0.006363961030678973,0.018314065632731604,0.00530330085889915,0.0008485281374238028,0.0026870057685088986,0.002616295090390134
cifar,"[2, 3, 4, 5, 6, 7, 8, 9]",0.011137644567323489,0.0045961940777126415,0.009678524067490884,0.008352698852766096,0.009324970676897647,0.0007513009550106829,0.0029610096462187145
cifar,"[2, 7]",0.012521682347809532,0.011313708498984653,0.00083968930265907,0.0011048543456040354,0.027753941161571996,0.008308504678941921,0.010827572586919052
cifar,"[8, 9]",0.0018414241450422605,0.019445436482629995,0.019533824830278382,0.0024748737341529184,0.0007071067811865089,0.01016465997955664,0.01308147545195122
mnist,"[0, 1, 2, 3, 4, 5, 6, 7]",0.001336517376363075,0.0012348128896858429,0.051056573717789835,0.04551142536916214,0.053601562039044884,0.0023548003060357195,0.0032831458410952914
mnist,"[0, 1, 2, 3, 4]",0.0005524271728019982,0.0009631732765726241,0.010599902588153293,0.012348880299730013,0.018619324337276585,0.00010109230343481635,0.001758320168493763
mnist,"[0, 1, 3, 4, 5, 6, 8, 9]",0.001871124044065687,0.00026716880901280903,0.01227843407954743,0.006512263243003923,0.030092023674690747,0.02499845396141724,0.024530890519922025
mnist,"[0, 1]",0.00034526680622453396,0.000334329447369448,0.007006716145030054,0.002474242994904079,0.00259243094363185,0.005949366855972964,0.001840883401750036
mnist,"[0, 2, 4, 6, 8]",0.0024713848692944963,0.0012919125113029853,0.0040006397552190915,0.0016756118474945635,0.0017901999155995405,4.5897765439477534e-06,0.001699013037343192
mnist,"[1, 3, 5, 7, 9]",0.0008498879037640742,0.0020903826798971737,0.0022512490932823375,0.0026137396064830933,0.002223137356089327,0.020871426213823412,0.019715159295467962
mnist,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0019017983362335463,0.0006277422280666575,0.01760974555936968,0.016162046248266716,0.026005995118788976,0.006442474926704398,0.0075860213067435655
mnist,"[2, 7]",0.0010358011257804417,0.0006865114380452228,0.007555066140131757,0.006961097151041774,0.007703909996251204,0.004609748800481128,0.006965583302655405
mnist,"[8, 9]",0.0029462777835393777,0.003922427933964867,0.0007774639059146309,0.00316089246980423,0.002061217681372427,0.011359964913032228,0.010452370523766326
