experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,variation_ratio__bal_acc,variation_ratio__f1_score,variation_ratio__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,1258.961445093155,mnist,0.995087202161631,"[0, 1, 4, 8]","[7, 9]",100.0,0.7847699677354563,0.8055401772187671,0.852579016900176,0.7826781753989995,0.80365979285978,0.853035268384934,0.7823345942726937,0.8035294374346557,0.8531462860030956,0.63343077279109,0.7288871615802035,0.6347268537417671,0.662545757725078,0.7442631645871323,0.8530625336555685
1.2,1221.3514893054962,mnist,0.9958241218373864,"[0, 1, 4, 8]","[7, 9]",100.0,0.7902116409415904,0.8096393892276535,0.8530249807943938,0.7837787295545555,0.8062892654026773,0.8505766604739159,0.7825414972880053,0.8059420803776073,0.8501264048241353,0.64477477071826,0.7352834839343118,0.6460524811017593,0.7817110295659657,0.8088758476675534,0.8534507166348193
1.3,1218.1212408542633,mnist,0.9943502824858758,"[0, 1, 4, 8]","[7, 9]",100.0,0.7907710234701241,0.8103406675414805,0.8218419053577014,0.785453720117278,0.8076606634251633,0.8179372913922783,0.7852912180662301,0.8072684880171636,0.8173374554383233,0.6605691634232861,0.7440289805066879,0.6617253412766155,0.788699411751191,0.8097994714064726,0.8214933895603803
1.4,1215.208532333374,mnist,0.9941046425939573,"[0, 1, 4, 8]","[7, 9]",100.0,0.7751808152294501,0.8020037639898138,0.8263021123263512,0.7709720732976968,0.799694929526629,0.8240300064401578,0.7705098635849534,0.798917364540243,0.8237309720599139,0.6287247138083228,0.7268433845819514,0.6301936869285496,0.7634002281331543,0.7986180943816384,0.8264905077727481
1.5,1217.76385140419,mnist,0.9945959223777942,"[0, 1, 4, 8]","[7, 9]",100.0,0.790752889237419,0.8071445382543115,0.8634475091786766,0.7892180673171045,0.8068862719728865,0.8618732553698066,0.7891237984473487,0.8061707453983588,0.861625343372002,0.6411834646359914,0.7332970444006887,0.6428241973217932,0.7784129788653102,0.8055708875827001,0.8640243716175601
2.1,1199.2531433105469,mnist,0.9897908366533864,"[2, 4, 7, 8]","[3, 6]",100.0,0.8190590919243883,0.8262527612660935,0.9023875241067603,0.8181505009877539,0.8266614195651992,0.9015390132696306,0.818258980409356,0.8266305574519773,0.9015305808637958,0.6928218217995261,0.7597045780191447,0.6990945890243806,0.818224429360406,0.8253821587800506,0.9025892198139712
2.2,1197.4750108718872,mnist,0.9877988047808764,"[2, 4, 7, 8]","[3, 6]",100.0,0.82965941105788,0.8343418134638793,0.9058187692457262,0.8276429688944031,0.8348044098121539,0.9058608072689321,0.8270744576317013,0.8348079555138801,0.9061117333455024,0.6906692727618637,0.7584367556226945,0.6963472678013047,0.8216550904575247,0.833571892851371,0.9065027241631084
2.3,1198.4594452381134,mnist,0.9895418326693227,"[2, 4, 7, 8]","[3, 6]",100.0,0.8204939157523516,0.8305593874393891,0.8866528408279233,0.8182280598351062,0.829630224567649,0.8859604535047063,0.8176487115405783,0.8290861786766758,0.8858579625720227,0.694914144060308,0.7611022028456645,0.7033271607295916,0.8155996571131332,0.8282606239024054,0.8869714121601244
2.4,1197.2298772335052,mnist,0.9902888446215139,"[2, 4, 7, 8]","[3, 6]",100.0,0.8559011905473829,0.8583071149691517,0.9225371918699703,0.8554858454267653,0.8584299458663084,0.923124174120252,0.8552105433546059,0.8578260310770184,0.9235152889438263,0.7309353842983892,0.7831796567574194,0.7383191338232726,0.8534691778821071,0.8579496613294004,0.9234812493055664
2.5,1197.9295344352722,mnist,0.9902888446215139,"[2, 4, 7, 8]","[3, 6]",100.0,0.8183644594346756,0.823054765660704,0.8943982535991493,0.8168399845490895,0.823174183118469,0.894307729242393,0.8165387815687664,0.8232744817487366,0.8942934065530705,0.6896184300864555,0.757014469200925,0.6959839923175822,0.8115829306024076,0.822564250196121,0.8947026882509802
