,train_time,dataset,test_acc,inside_labels,nb_epochs,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold
test_mnist_2labels_1_v1,11.461198329925537,mnist,0.9995271867612293,"[0, 1]",25.0,0.8710718369214079,8.973315814583519e-07,0.8804511416297663,1.3808297652180924e-06,0.8686993002259533,8.569055051268347e-06,0.8785333959643667,8.569055051268347e-06
test_mnist_2labels_2_v1,10.964030265808105,mnist,0.987378640776699,"[2, 7]",25.0,0.7217302771815044,4.3016357581067997e-07,0.7467492917525215,0.00010023075482838644,0.7210011452188189,1.2220446866314887e-05,0.7462040525126156,0.0005764488282925873
test_mnist_2lavels_3_v1,10.764679431915283,mnist,0.9904185577407968,"[8, 9]",25.0,0.6455214121659171,0.00014661086840469828,0.7080578649400431,0.0021004982416539153,0.6455846447726202,0.0006220048825634706,0.7080451930013848,0.010642092440647224
test_mnist_5labels_1_v1,40.49089813232422,mnist,0.988022736500203,"[0, 2, 4, 6, 8]",50.0,0.8295216868487325,8.393129498166374e-05,0.8318990613291071,0.0002560993100258457,0.8313724780991056,0.0007814350607844542,0.8326250256587749,0.0016719497597319883
test_mnist_5labels_2_v1,41.82030129432678,mnist,0.9856129286558928,"[1, 3, 5, 7, 9]",50.0,0.8158337018051462,0.00013936192742241435,0.8222343319576981,0.0008431909292866251,0.816062254171867,0.0015892828656229763,0.8222060499845028,0.006248788072006888
test_mnist_5labels_3_v1,42.03126120567322,mnist,0.9922163845106052,"[0, 1, 2, 3, 4]",50.0,0.8646438521665301,0.00013247139878661175,0.8681577250987709,0.0003940901640403448,0.8660321824295059,0.0027761532944367982,0.8692270583528704,0.0027761532944367982
test_mnist_8labels_1_v1,100.50411415100098,mnist,0.9824984147114775,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.8954990138546716,0.00019377033374779888,0.8911574624700898,0.0005208548550577665,0.8969296527204301,0.0034877274748141775,0.8938025766168485,0.0034877274748141775
test_mnist_8labels_2_v1,98.86385130882263,mnist,0.9829974811083123,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.8480928582507232,4.1268208457029516e-05,0.8461078161989987,5.054796821191235e-05,0.8466977829728313,0.00035608325526292813,0.8460746919026126,0.0007618717702322999
test_mnist_8labels_3_v1,95.51117157936096,mnist,0.986029686915305,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.8993906190508785,9.056428379445294e-05,0.8963881131259904,9.056428379445294e-05,0.9012682210061568,0.0009817298406188842,0.8981169445909867,0.00105931476351837
test_mnist_2labels_1_v2,10.940521955490112,mnist,0.9981087470449173,"[0, 1]",25.0,0.8015912712321602,5.711586478126435e-06,0.8262102255181138,9.976977642363212e-06,0.796765206751467,4.023505548869293e-05,0.8241799754773933,8.393129498166374e-05
