inside,outside,bayesian_in_entropy_acc,mlp_dropout_in_entropy_acc,mlp_deterministic_in_entropy_acc,poor_bayesian_in_entropy_acc,bayesian_out_entropy_acc,mlp_dropout_out_entropy_acc,mlp_deterministic_out_entropy_acc,poor_bayesian_out_entropy_acc,bayesian_in_entropy_auc,mlp_dropout_in_entropy_auc,mlp_deterministic_in_entropy_auc,poor_bayesian_in_entropy_auc,bayesian_out_entropy_auc,mlp_dropout_out_entropy_auc,mlp_deterministic_out_entropy_auc,poor_bayesian_out_entropy_auc
"[0, 1, 4, 8]","[7, 9]",0.7753904906803083,0.8178696549102544,0.8115849876670955,0.7627085538646693,0.7407704638531158,0.7518589699699714,0.7362842523745298,0.7353333624432392,0.8459552181394163,0.8916287119793584,0.885575453733234,0.8294302130671501,0.8040855135661973,0.8158152286466437,0.7961676979082067,0.789456559817942
"[0, 1, 6, 7]","[3, 9]",0.9149930116823187,0.923230790255204,0.9265716503301983,0.917949428519262,0.8294291939431281,0.8402392512869762,0.8223590415840242,0.8321288011616974,0.9688520568698774,0.9719885289062846,0.9753874987326032,0.9693090948398305,0.8951125092279059,0.9048475206365726,0.8906208757230446,0.8965682978168932
"[0, 2, 4, 6]","[5, 9]",0.9155023581752845,0.8812215318829629,0.9017976082618638,0.9076703234971837,0.8376413423307106,0.836042914468275,0.856868965303752,0.8359437819558287,0.9718750030508372,0.9454744206419482,0.9616181900839168,0.9656321359082073,0.9000826614169487,0.8994826532651118,0.917125939698535,0.898957858419676
"[0, 3, 6, 9]","[1, 5]",0.7463689325385235,0.7675048819626427,0.7510145102740585,0.7489652537675351,0.7126264858350986,0.7385764803473139,0.7222825026994011,0.7337412618152696,0.8179671697340032,0.8411122169564519,0.824760745578045,0.8210171906091412,0.7731638310711327,0.804720948570305,0.785924315122628,0.7945104427710771
"[0, 3, 7, 8]","[5, 6]",0.847800572566249,0.8899982420371421,0.8755829590725609,0.8633213841700674,0.8493576008880052,0.8806098209234442,0.875457422734356,0.8599131581023826,0.9168553657740365,0.9485026249388309,0.9397660058773952,0.929778056594189,0.9171209984503236,0.9398049044216377,0.9399348641165609,0.9250621854579771
"[0, 4, 5, 6]","[1, 3]",0.8554092905997729,0.8547626308645491,0.853655524481361,0.8764644601560642,0.8098917605455281,0.8057203243784096,0.7980384028757266,0.8218373005120997,0.9354030565267378,0.9370969839181577,0.9374786907308174,0.9490153592843354,0.8884441860873539,0.8841017560697839,0.8752798808402537,0.8983767927794745
"[0, 5, 6, 9]","[2, 3]",0.7896910113641841,0.7924667141855039,0.7892518007393723,0.7976526259289239,0.7156809207638254,0.7006406090218792,0.7279849794687108,0.708985760835248,0.8684835212934434,0.8790408588395554,0.8769459791149062,0.8729595986789049,0.7723063173783888,0.7620056699488726,0.7989718082074351,0.7717505981372987
"[1, 2, 6, 8]","[4, 9]",0.8468731480719813,0.879675600514866,0.8815743382740489,0.8638426780993548,0.7608821556273485,0.762125856822525,0.7719005982610009,0.7761173501372131,0.9168584357276753,0.9439558480880393,0.9455311600546324,0.9282511256462236,0.8207518748984791,0.822479969851046,0.8376236942160636,0.83818174935895
"[1, 3, 5, 7]","[2, 8]",0.8662160295704311,0.8796014361456721,0.8853437475733842,0.888650058881946,0.6993202584333561,0.7906746154357055,0.765984142451907,0.7151639901027799,0.9331056031354409,0.9429111605954441,0.9485304186205515,0.9501185296912781,0.7326458851251786,0.845422036556838,0.8200235504518445,0.7533713054106871
"[1, 5, 6, 7]","[4, 8]",0.8226480196444906,0.8307053140111718,0.8327902269932186,0.8514316305290895,0.736806506026841,0.7516915574406279,0.7349456676556839,0.7632799555261256,0.8929715091791418,0.9039688963403463,0.9069644324926046,0.9195109691567401,0.8003456124743348,0.8196464937229865,0.8022977048729559,0.8255727596961244
