experiment_name,train_time,dataset,test_acc,inside_labels,unknown_labels,epochs,pred_std__bal_acc,pred_std__f1_score,pred_std__auc,entropy__bal_acc,entropy__f1_score,entropy__auc,entropy_expectation__bal_acc,entropy_expectation__f1_score,entropy_expectation__auc,variation_ratio__bal_acc,variation_ratio__f1_score,variation_ratio__auc,classifier__bal_acc,classifier__f1_score,classifier__auc
1.1,474.586847782135,svhn,0.9637221113731181,"[0, 1, 4, 8]","[7, 9]",100.0,0.7523340910659171,0.7382144134812048,0.7942645014745536,0.8212906825413153,0.823481826890148,0.9178000985795575,0.8145601588314331,0.8225554293460232,0.918162817756345,0.7628136869203327,0.7573416416754429,0.7965650321596859,0.8192283501584006,0.8231069486839392,0.9188531429542429
1.2,464.05066561698914,svhn,0.9609105750045347,"[0, 1, 4, 8]","[7, 9]",100.0,0.7540816675963302,0.7372578211620127,0.7887596097235441,0.8286276763136655,0.827847940079255,0.924819517344856,0.8192334681446773,0.8210200698739287,0.9224100964688672,0.8182219971599312,0.8128620417145723,0.8750659431512237,0.8265723893562145,0.8253211799868051,0.9248111978237853
1.3,463.98720693588257,svhn,0.959278070016325,"[0, 1, 4, 8]","[7, 9]",100.0,0.7629156580003023,0.746099025462564,0.7999554559307724,0.8453997527311383,0.8442668270455839,0.9360547558872593,0.8378722907581855,0.8402880492602823,0.9352723626497228,0.8255950420192971,0.8204692083431393,0.8730392719927057,0.8428764161677655,0.8424075177983764,0.9364398701001921
1.4,463.6570746898651,svhn,0.9641755849809541,"[0, 1, 4, 8]","[7, 9]",100.0,0.7513767924502022,0.7361317367196658,0.7866449506732809,0.8302333181363151,0.834710597868152,0.9266349443195553,0.8217806054924326,0.8310240978227436,0.9248391657448584,0.7854881822110548,0.7792688924307476,0.8287976233269881,0.8275860663795593,0.8331486667655561,0.9267352761514153
1.5,463.1079306602478,svhn,0.9625430799927445,"[0, 1, 4, 8]","[7, 9]",100.0,0.7482367084818534,0.7345235165201383,0.7857744142993477,0.8228162929700192,0.8271231817185656,0.9216717847511091,0.8176654387500609,0.8246792535858636,0.9214374329980007,0.8134264937664044,0.8107272980012866,0.872639807601084,0.821376559456481,0.8251395393214085,0.922452836515631
2.1,439.1420090198517,svhn,0.9656071877113322,"[2, 4, 7, 8]","[3, 6]",100.0,0.6966151473880321,0.7196894769494931,0.7857809800418543,0.8741202509386079,0.8719262606497042,0.936150005621392,0.8643584038327042,0.8594735207933892,0.9292132197566397,0.7901757948223156,0.7882129606369138,0.8557754582764446,0.8726281935467028,0.8690279594327512,0.9309439290763005
2.2,438.8907845020294,svhn,0.9663800598975945,"[2, 4, 7, 8]","[3, 6]",100.0,0.7252463732051877,0.7322519450345617,0.8163731440770126,0.8803007409946728,0.8763699896869076,0.9411439833137595,0.8689226837028758,0.8652969874793691,0.9351418419893097,0.8130327785592419,0.8103558744212115,0.863800729311533,0.877530642707579,0.8741191375251189,0.9372194939333336
2.3,439.2406647205353,svhn,0.9633851801758284,"[2, 4, 7, 8]","[3, 6]",100.0,0.7379821789955574,0.7356491778791294,0.8239929152073618,0.8724614955213299,0.8678818408912737,0.934853322738895,0.865897570805433,0.8590290791158754,0.9285943042526484,0.7935186338422497,0.7957980680383188,0.8415285732836219,0.8710864234190758,0.8656936401075787,0.9307864640456512
2.4,438.6517581939697,svhn,0.9676359772002705,"[2, 4, 7, 8]","[3, 6]",100.0,0.7224981744686445,0.7323233329959321,0.8096699222651769,0.8813237541893943,0.8783573638192821,0.9396078311049312,0.877269734910596,0.8724553594427048,0.9355401064834616,0.7780543758078342,0.7852078700460788,0.825331292087571,0.8806057355858874,0.8770328157704232,0.9373851674279365
2.5,440.37433218955994,svhn,0.9693749396193605,"[2, 4, 7, 8]","[3, 6]",100.0,0.7213431363964229,0.7282794349496754,0.8111966251438312,0.8752456910125703,0.8719584025370517,0.9372935798956534,0.8690424318150856,0.8629040825994757,0.9314086825748334,0.7920395003497518,0.7964017356620604,0.843845319615983,0.8736341735541503,0.8692985194436225,0.9340987912695367
3.1,456.36969327926636,svhn,0.9558492688413949,"[2, 3, 6, 8]","[0, 5]",100.0,0.8142801419082014,0.8010254295235986,0.8746708648336011,0.8599000372341232,0.8545876118015697,0.9349621210907734,0.8587533357884545,0.8536656685247203,0.9351005010209429,0.8489395867264778,0.841292365820713,0.9122153371247782,0.8606204754970621,0.85495341824213,0.9346073739158361
3.2,456.15052914619446,svhn,0.9574428196475441,"[2, 3, 6, 8]","[0, 5]",100.0,0.790620158002,0.7724618334565891,0.8586508580006175,0.842934548841714,0.8393339851716626,0.9225003105143186,0.8416852020637915,0.8342554027237225,0.9207104565938691,0.837315113736396,0.8304103412716762,0.906268274626939,0.8432268069045447,0.8397049297578867,0.920424857670648
3.3,455.9434697628021,svhn,0.9536932883389576,"[2, 3, 6, 8]","[0, 5]",100.0,0.7872836695060925,0.7710120940838401,0.8608308654035726,0.8446281441212193,0.8413607530981032,0.9237624194047656,0.8362720903688974,0.8315406588355863,0.9213481163510667,0.8330507567113066,0.8260417506104283,0.9040623632218633,0.8460008772778693,0.8419745987654693,0.920507813047488
