;test_acc;dataset;inside_labels;num_epochs;Bayesian entropy bal_acc;Bayesian entropy f1_score;Classical entropy bal_acc;Classical entropy f1_score;Bayesian prediction STD bal_acc;Bayesian prediction STD f1_score
test_cifar_2labels_1_v1;0.957291667;cifar;[0, 1];25;0.5318125;0.666861265;0.566875;0.666666667;0.51975;0.666666667
test_cifar_2labels_1_v2;0.954166667;cifar;[0, 1];25;0.5251875;0.666722227;0.5484375;0.666666667;0.5201875;0.666666667
test_cifar_2labels_2_v1;0.894791667;cifar;[2, 7];25;0.5198125;0.667642263;0.53925;0.666666667;0.517625;0.666666667
test_cifar_2labels_2_v2;0.9125;cifar;[2, 7];25;0.518625;0.666944978;0.5;0.666666667;0.5160625;0.666666667
test_cifar_2lavels_3_v1;0.9375;cifar;[8, 9];25;0.58975;0.675561737;0.5818125;0.666666667;0.513125;0.666666667
test_cifar_2lavels_3_v2;0.934895833;cifar;[8, 9];25;0.562125;0.671100998;0.5828125;0.666666667;0.516625;0.666666667
test_cifar_5labels_1_v1;0.822315705;cifar;[0, 2, 4, 6, 8];50;0.5;0.666666667;0.5537;0.666666667;0.5001;0.666666667
test_cifar_5labels_1_v2;0.808894231;cifar;[0, 2, 4, 6, 8];50;0.5;0.666666667;0.5681;0.666666667;0.5;0.666666667
test_cifar_5labels_2_v1;0.791666667;cifar;[1, 3, 5, 7, 9];50;0.5797;0.674180611;0.5129;0.666666667;0.5119;0.666666667
test_cifar_5labels_2_v2;0.796674679;cifar;[1, 3, 5, 7, 9];50;0.5538;0.66894198;0.5141;0.666666667;0.5044;0.666666667
test_cifar_5labels_3_v1;0.79286859;cifar;[0, 1, 2, 3, 4];50;0.5022;0.666711114;0.5039;0.666666667;0.505;0.666666667
test_cifar_5labels_3_v2;0.79306891;cifar;[0, 1, 2, 3, 4];50;0.5001;0.666666667;0.514;0.666711114;0.506;0.666666667
test_cifar_8labels_1_v1;0.727696573;cifar;[2, 3, 4, 5, 6, 7, 8, 9];75;0.5798125;0.677315399;0.524875;0.666666667;0.554625;0.666666667
test_cifar_8labels_1_v2;0.743447581;cifar;[2, 3, 4, 5, 6, 7, 8, 9];75;0.566125;0.668000522;0.5116875;0.666666667;0.5428125;0.666666667
test_cifar_8labels_2_v1;0.757056452;cifar;[0, 1, 3, 4, 5, 6, 8, 9];75;0.5005;0.666666667;0.5554375;0.667281957;0.5249375;0.666722248
test_cifar_8labels_2_v2;0.758820565;cifar;[0, 1, 3, 4, 5, 6, 8, 9];75;0.5000625;0.666666667;0.53775;0.666722262;0.5105;0.666666667
test_cifar_8labels_3_v1;0.715725806;cifar;[0, 1, 2, 3, 4, 5, 6, 7];75;0.5183125;0.666666667;0.5;0.666666667;0.582;0.666666667
test_cifar_8labels_3_v2;0.716985887;cifar;[0, 1, 2, 3, 4, 5, 6, 7];75;0.6099375;0.677008414;0.5;0.666666667;0.6161875;0.666666667
test_mnist_2labels_1_v1;0.999511719;mnist;[0, 1];25;0.895073509;0.900266288;0.874974629;0.882114798;0.897296904;0.902125762
test_mnist_2labels_1_v2;1;mnist;[0, 1];25;0.904982502;0.908170055;0.87864088;0.88552592;0.900796012;0.905246059
test_mnist_2labels_2_v1;0.990234375;mnist;[2, 7];25;0.750845715;0.76960146;0.745074666;0.761573278;0.749741182;0.770336115
test_mnist_2labels_2_v2;0.991699219;mnist;[2, 7];25;0.761530192;0.780578449;0.75596964;0.775112204;0.75958566;0.77970342
test_mnist_2lavels_3_v1;0.995833333;mnist;[8, 9];25;0.737334522;0.76302158;0.719536052;0.753387572;0.731828197;0.763656905
test_mnist_2lavels_3_v2;0.991666667;mnist;[8, 9];25;0.738434022;0.762910481;0.71662105;0.751712575;0.736298374;0.760503441
test_mnist_5labels_1_v1;0.986636513;mnist;[0, 2, 4, 6, 8];50;0.839992151;0.839506439;0.800485922;0.802680262;0.839676679;0.839269878
test_mnist_5labels_1_v2;0.983141447;mnist;[0, 2, 4, 6, 8];50;0.834334392;0.833762219;0.797954197;0.796134548;0.842046352;0.843773143
test_mnist_5labels_2_v1;0.983774038;mnist;[1, 3, 5, 7, 9];50;0.850500205;0.851652338;0.831490344;0.835649556;0.842753971;0.845627188
test_mnist_5labels_2_v2;0.982572115;mnist;[1, 3, 5, 7, 9];50;0.853683952;0.853371949;0.834634335;0.836171304;0.846450357;0.850087148
test_mnist_5labels_3_v1;0.991992188;mnist;[0, 1, 2, 3, 4];50;0.869633026;0.872521501;0.848094334;0.851292553;0.864038741;0.867604887
test_mnist_5labels_3_v2;0.991210938;mnist;[0, 1, 2, 3, 4];50;0.884623552;0.884805949;0.874426035;0.873323595;0.881502695;0.882720373
test_mnist_8labels_1_v1;0.968237705;mnist;[2, 3, 4, 5, 6, 7, 8, 9];75;0.911851285;0.908768091;0.886276593;0.884135867;0.91912404;0.916821503
test_mnist_8labels_1_v2;0.970927254;mnist;[2, 3, 4, 5, 6, 7, 8, 9];75;0.886947344;0.882361081;0.849498562;0.84785715;0.896267455;0.89207391
test_mnist_8labels_2_v1;0.97328629;mnist;[0, 1, 3, 4, 5, 6, 8, 9];75;0.866381684;0.862218187;0.805100827;0.807783003;0.88289056;0.88149823
test_mnist_8labels_2_v2;0.970640121;mnist;[0, 1, 3, 4, 5, 6, 8, 9];75;0.883746012;0.878656235;0.847657375;0.84309793;0.892100291;0.888932107
test_mnist_8labels_3_v1;0.97593246;mnist;[0, 1, 2, 3, 4, 5, 6, 7];75;0.857773073;0.856455088;0.856228078;0.853284419;0.851937664;0.848642675
test_mnist_8labels_3_v2;0.977822581;mnist;[0, 1, 2, 3, 4, 5, 6, 7];75;0.929977972;0.929185623;0.932032134;0.929970657;0.916300539;0.915753537
